"ts","enso1","year","month","time","enso2"
1870.79,-0.874382,1870,10,"1870-10-15 00:00:00",-1
1870.88,-0.734804,1870,11,"1870-11-15 00:00:00",-1
1870.04,-0.960789,1870,1,"1870-1-15 00:00:00",-1
1870.96,-0.780357,1870,12,"1870-12-15 00:00:00",-1
1870.12,-1.18087,1870,2,"1870-2-15 00:00:00",-1
1870.21,-0.77055,1870,3,"1870-3-15 00:00:00",-1
1870.29,-0.734835,1870,4,"1870-4-15 00:00:00",-1
1870.38,-1.18979,1870,5,"1870-5-15 00:00:00",-1
1870.46,-0.987436,1870,6,"1870-6-15 00:00:00",-1
1870.54,-0.919346,1870,7,"1870-7-15 00:00:00",-1
1870.62,-0.797125,1870,8,"1870-8-15 00:00:00",-1
1870.71,-0.475054,1870,9,"1870-9-15 00:00:00",0
1871.79,-0.280622,1871,10,"1871-10-15 00:00:00",0
1871.88,-0.238005,1871,11,"1871-11-15 00:00:00",0
1871.04,-0.196669,1871,1,"1871-1-15 00:00:00",0
1871.96,-0.556187,1871,12,"1871-12-15 00:00:00",-1
1871.12,-0.564884,1871,2,"1871-2-15 00:00:00",-1
1871.21,-0.376089,1871,3,"1871-3-15 00:00:00",0
1871.29,-0.429966,1871,4,"1871-4-15 00:00:00",0
1871.38,-0.624329,1871,5,"1871-5-15 00:00:00",-1
1871.46,-0.435986,1871,6,"1871-6-15 00:00:00",0
1871.54,-0.481686,1871,7,"1871-7-15 00:00:00",0
1871.62,-0.242195,1871,8,"1871-8-15 00:00:00",0
1871.71,-0.181084,1871,9,"1871-9-15 00:00:00",0
1872.79,-0.897081,1872,10,"1872-10-15 00:00:00",-1
1872.88,-0.735674,1872,11,"1872-11-15 00:00:00",-1
1872.04,-0.665409,1872,1,"1872-1-15 00:00:00",-1
1872.96,-0.859657,1872,12,"1872-12-15 00:00:00",-1
1872.12,-0.606184,1872,2,"1872-2-15 00:00:00",-1
1872.21,-0.44943,1872,3,"1872-3-15 00:00:00",0
1872.29,-0.700035,1872,4,"1872-4-15 00:00:00",-1
1872.38,-0.537619,1872,5,"1872-5-15 00:00:00",-1
1872.46,-0.432636,1872,6,"1872-6-15 00:00:00",0
1872.54,-0.200026,1872,7,"1872-7-15 00:00:00",0
1872.62,-0.765755,1872,8,"1872-8-15 00:00:00",-1
1872.71,-0.961565,1872,9,"1872-9-15 00:00:00",-1
1873.79,-0.725412,1873,10,"1873-10-15 00:00:00",-1
1873.88,-0.714514,1873,11,"1873-11-15 00:00:00",-1
1873.04,-0.734459,1873,1,"1873-1-15 00:00:00",-1
1873.96,-0.687757,1873,12,"1873-12-15 00:00:00",-1
1873.12,-0.997503,1873,2,"1873-2-15 00:00:00",-1
1873.21,-1.25541,1873,3,"1873-3-15 00:00:00",-1
1873.29,-0.594425,1873,4,"1873-4-15 00:00:00",-1
1873.38,-0.44858,1873,5,"1873-5-15 00:00:00",0
1873.46,-0.380806,1873,6,"1873-6-15 00:00:00",0
1873.54,-0.455126,1873,7,"1873-7-15 00:00:00",0
1873.62,-0.303225,1873,8,"1873-8-15 00:00:00",0
1873.71,-0.280264,1873,9,"1873-9-15 00:00:00",0
1874.79,-1.19778,1874,10,"1874-10-15 00:00:00",-1
1874.88,-1.26558,1874,11,"1874-11-15 00:00:00",-1
1874.04,-0.89106,1874,1,"1874-1-15 00:00:00",-1
1874.96,-1.12264,1874,12,"1874-12-15 00:00:00",-1
1874.12,-1.05517,1874,2,"1874-2-15 00:00:00",-1
1874.21,-1.35529,1874,3,"1874-3-15 00:00:00",-1
1874.29,-0.874575,1874,4,"1874-4-15 00:00:00",-1
1874.38,-0.78299,1874,5,"1874-5-15 00:00:00",-1
1874.46,-0.633625,1874,6,"1874-6-15 00:00:00",-1
1874.54,-0.893045,1874,7,"1874-7-15 00:00:00",-1
1874.62,-0.978405,1874,8,"1874-8-15 00:00:00",-1
1874.71,-1.07768,1874,9,"1874-9-15 00:00:00",-1
1875.79,-0.778912,1875,10,"1875-10-15 00:00:00",-1
1875.88,-0.575594,1875,11,"1875-11-15 00:00:00",-1
1875.04,-0.667139,1875,1,"1875-1-15 00:00:00",-1
1875.96,-0.733778,1875,12,"1875-12-15 00:00:00",-1
1875.12,-0.361464,1875,2,"1875-2-15 00:00:00",0
1875.21,-0.54121,1875,3,"1875-3-15 00:00:00",-1
1875.29,-0.794556,1875,4,"1875-4-15 00:00:00",-1
1875.38,-1.005,1875,5,"1875-5-15 00:00:00",-1
1875.46,-0.665665,1875,6,"1875-6-15 00:00:00",-1
1875.54,-0.725386,1875,7,"1875-7-15 00:00:00",-1
1875.62,-0.719074,1875,8,"1875-8-15 00:00:00",-1
1875.71,-0.848925,1875,9,"1875-9-15 00:00:00",-1
